inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
745,1:good,1:good,,0.951,7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2
746,2:bad,2:bad,,1,7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2
747,2:bad,2:bad,,1,7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9
748,1:good,1:good,,1,6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1
749,1:good,1:good,,0.951,7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3
750,1:good,1:good,,0.974,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6
751,2:bad,2:bad,,0.993,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4
752,1:good,1:good,,0.974,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6
753,2:bad,2:bad,,0.917,8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9
754,2:bad,2:bad,,0.993,7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4
755,2:bad,2:bad,,0.917,8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9
756,1:good,1:good,,0.974,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6
757,2:bad,2:bad,,0.993,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4
758,1:good,1:good,,0.951,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1
759,2:bad,2:bad,,0.993,7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7
760,1:good,1:good,,0.951,8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7
761,1:good,1:good,,0.951,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1
762,1:good,1:good,,1,6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4
763,1:good,1:good,,0.951,8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9
764,1:good,1:good,,0.951,7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8
765,2:bad,2:bad,,0.969,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6
766,2:bad,2:bad,,0.969,6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6
767,1:good,1:good,,0.951,7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6
768,2:bad,2:bad,,1,7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5
769,2:bad,2:bad,,1,6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4
770,2:bad,2:bad,,0.97,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3
771,1:good,1:good,,1,7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7
772,1:good,1:good,,0.951,6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8
773,2:bad,2:bad,,1,9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5
774,2:bad,2:bad,,0.683,9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5
775,2:bad,2:bad,,0.993,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6
776,2:bad,2:bad,,1,7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8
777,2:bad,2:bad,,1,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8
778,2:bad,2:bad,,1,6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11
779,1:good,1:good,,0.951,7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8
780,2:bad,2:bad,,1,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5
781,2:bad,2:bad,,1,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5
782,1:good,1:good,,1,7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3
783,1:good,1:good,,0.951,7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6
784,1:good,1:good,,0.941,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2
785,2:bad,2:bad,,0.875,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10
786,2:bad,2:bad,,0.875,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10
787,2:bad,2:bad,,1,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4
788,1:good,1:good,,0.951,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2
789,1:good,1:good,,0.951,7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7
790,1:good,1:good,,0.951,7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2
791,1:good,1:good,,0.941,8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9
792,1:good,1:good,,0.941,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2
793,2:bad,2:bad,,0.875,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4
794,1:good,1:good,,0.951,8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8
795,1:good,1:good,,0.951,6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7
796,2:bad,2:bad,,0.875,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10
797,2:bad,2:bad,,1,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9
798,2:bad,2:bad,,0.727,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4
799,1:good,1:good,,1,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12
800,1:good,1:good,,0.971,6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8
801,1:good,1:good,,1,6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6
802,1:good,1:good,,0.974,6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3
803,2:bad,2:bad,,0.993,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5
804,2:bad,2:bad,,0.727,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4
805,1:good,1:good,,0.938,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1
806,2:bad,2:bad,,0.993,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9
807,2:bad,2:bad,,1,7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3
808,1:good,1:good,,0.941,8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12
809,1:good,1:good,,0.951,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4
810,1:good,1:good,,0.974,6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2
811,1:good,1:good,,0.857,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1
812,1:good,1:good,,1,6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12
813,1:good,1:good,,0.951,5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3
814,2:bad,2:bad,,1,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5
815,1:good,1:good,,0.951,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7
816,1:good,1:good,,0.857,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3
817,1:good,1:good,,0.951,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7
818,1:good,1:good,,0.951,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3
819,1:good,1:good,,0.857,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3
820,1:good,1:good,,0.974,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9
821,1:good,1:good,,0.974,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9
822,1:good,1:good,,0.974,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9
823,1:good,1:good,,1,7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1
824,1:good,1:good,,1,7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9
825,2:bad,2:bad,,1,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6
826,2:bad,2:bad,,1,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2
827,1:good,2:bad,+,0.683,8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5
828,1:good,1:good,,0.974,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9
829,1:good,1:good,,0.951,6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3
830,2:bad,2:bad,,0.993,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3
831,2:bad,2:bad,,1,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11
832,2:bad,2:bad,,1,6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2
833,1:good,1:good,,1,7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8
834,2:bad,2:bad,,0.993,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1
835,2:bad,2:bad,,1,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1
836,2:bad,2:bad,,1,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10
837,2:bad,2:bad,,0.917,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3
838,1:good,1:good,,0.971,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4
839,2:bad,2:bad,,0.92,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6
840,2:bad,2:bad,,0.993,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1
841,2:bad,2:bad,,0.92,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6
842,1:good,1:good,,0.951,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1
843,2:bad,2:bad,,0.917,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3
844,2:bad,2:bad,,1,6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6
845,2:bad,2:bad,,0.97,8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2
846,1:good,1:good,,0.971,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4
847,2:bad,2:bad,,0.92,6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5
848,2:bad,2:bad,,1,6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9
849,2:bad,1:good,+,0.9,7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8
850,2:bad,2:bad,,1,7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5
851,2:bad,2:bad,,1,8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4
852,2:bad,2:bad,,0.993,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3
853,1:good,1:good,,1,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8
854,2:bad,2:bad,,1,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2
855,2:bad,2:bad,,0.993,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2
856,1:good,1:good,,0.951,8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7
857,2:bad,2:bad,,0.683,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2
858,1:good,1:good,,0.951,7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3
859,2:bad,2:bad,,1,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8
860,2:bad,2:bad,,0.993,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3
861,1:good,1:good,,1,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8
862,2:bad,2:bad,,0.969,7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4
863,2:bad,2:bad,,1,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5
864,2:bad,2:bad,,1,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7
865,2:bad,2:bad,,1,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5
866,2:bad,2:bad,,0.993,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1
867,2:bad,2:bad,,1,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3
868,2:bad,2:bad,,0.969,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1
869,2:bad,2:bad,,0.993,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10
870,1:good,1:good,,0.951,8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3
871,1:good,1:good,,0.951,7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4
872,1:good,1:good,,0.951,7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3
873,2:bad,2:bad,,1,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4
874,1:good,1:good,,0.951,6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1
875,1:good,1:good,,1,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11
876,2:bad,2:bad,,1,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1
877,2:bad,2:bad,,0.993,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2
878,1:good,1:good,,0.951,6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6
879,1:good,1:good,,0.951,7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2
880,1:good,1:good,,0.75,9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8
881,2:bad,2:bad,,0.683,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5
882,2:bad,2:bad,,1,8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10
883,1:good,1:good,,1,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11
884,1:good,1:good,,1,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11
885,2:bad,2:bad,,1,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1
886,2:bad,2:bad,,0.993,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2
887,2:bad,2:bad,,0.917,6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11
888,2:bad,2:bad,,0.993,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7
889,2:bad,2:bad,,0.993,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7
890,1:good,1:good,,0.941,8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2
891,1:good,1:good,,0.941,7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1
892,2:bad,2:bad,,1,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9
893,2:bad,2:bad,,0.993,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1
894,2:bad,2:bad,,1,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9
895,1:good,1:good,,0.951,7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6
896,1:good,1:good,,1,6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11
897,1:good,1:good,,0.941,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2
898,1:good,1:good,,0.971,6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7
899,2:bad,2:bad,,0.993,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9
900,2:bad,2:bad,,0.944,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5
901,2:bad,2:bad,,0.993,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1
902,1:good,1:good,,0.951,7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2
903,2:bad,2:bad,,0.993,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1
904,2:bad,2:bad,,1,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2
905,2:bad,2:bad,,0.833,7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9
906,2:bad,2:bad,,0.993,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9
907,2:bad,2:bad,,0.993,6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9
908,2:bad,2:bad,,1,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3
909,2:bad,2:bad,,0.882,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5
910,2:bad,2:bad,,1,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6
911,2:bad,2:bad,,1,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1
912,2:bad,2:bad,,0.993,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9
913,2:bad,2:bad,,0.97,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5
914,1:good,2:bad,+,0.75,8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9
915,2:bad,2:bad,,1,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1
916,2:bad,2:bad,,0.993,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7
917,2:bad,2:bad,,0.993,9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8
918,2:bad,2:bad,,0.993,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7
919,2:bad,2:bad,,1,6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9
920,2:bad,1:good,+,0.951,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7
921,1:good,1:good,,0.667,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5
922,2:bad,2:bad,,0.993,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5
923,1:good,1:good,,0.951,7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9
924,1:good,2:bad,+,0.92,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5
925,2:bad,2:bad,,0.97,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6
926,1:good,1:good,,0.8,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10
927,1:good,1:good,,1,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3
928,1:good,1:good,,1,8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6
929,2:bad,2:bad,,1,8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8
930,1:good,1:good,,0.962,6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3
931,1:good,1:good,,1,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3
932,2:bad,2:bad,,0.993,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4
933,1:good,2:bad,+,0.683,9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5
934,2:bad,2:bad,,0.993,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4
935,2:bad,2:bad,,0.969,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4
936,1:good,1:good,,0.951,7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2
937,1:good,1:good,,1,7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11
938,2:bad,2:bad,,0.993,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10
939,2:bad,2:bad,,0.993,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2
940,2:bad,2:bad,,0.683,7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5
941,2:bad,2:bad,,0.993,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10
942,1:good,1:good,,0.974,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1
943,1:good,1:good,,1,8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2
944,1:good,1:good,,0.974,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1
945,1:good,1:good,,0.971,7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5
946,1:good,1:good,,0.951,7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1
947,2:bad,2:bad,,0.971,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2
948,2:bad,2:bad,,0.971,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4
949,1:good,1:good,,0.951,7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8
950,2:bad,2:bad,,0.917,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9
951,2:bad,2:bad,,0.993,6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9
952,2:bad,2:bad,,0.875,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2
953,2:bad,2:bad,,0.92,5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2
954,2:bad,2:bad,,0.993,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8
955,2:bad,2:bad,,0.993,6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3
956,1:good,2:bad,+,0.683,6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8
957,2:bad,2:bad,,0.97,8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9
958,1:good,1:good,,0.75,6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5
959,2:bad,2:bad,,1,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8
960,1:good,2:bad,+,0.683,7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5
961,1:good,1:good,,1,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4
962,2:bad,2:bad,,0.993,6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3
963,2:bad,2:bad,,0.993,6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3
964,2:bad,2:bad,,0.993,6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9
965,1:good,1:good,,1,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4
966,2:bad,2:bad,,0.993,6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1
967,2:bad,2:bad,,0.97,7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9
968,1:good,1:good,,0.974,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9
969,1:good,1:good,,0.974,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9
970,1:good,2:bad,+,0.97,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1
971,1:good,1:good,,0.974,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9
972,2:bad,2:bad,,0.971,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10
973,1:good,2:bad,+,0.97,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1
974,2:bad,2:bad,,1,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4
975,2:bad,2:bad,,0.993,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7
976,1:good,1:good,,0.974,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9
977,2:bad,2:bad,,1,6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2
978,2:bad,2:bad,,1,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3
979,2:bad,2:bad,,0.993,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6
980,2:bad,2:bad,,0.993,6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6
981,2:bad,2:bad,,0.993,6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6
982,2:bad,2:bad,,0.971,6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6
983,2:bad,2:bad,,1,7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6
984,2:bad,2:bad,,0.933,6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8
985,2:bad,2:bad,,0.944,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5
986,2:bad,2:bad,,0.683,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8
987,2:bad,2:bad,,0.993,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4
988,1:good,1:good,,0.974,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5
989,2:bad,2:bad,,1,9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9
990,1:good,2:bad,+,0.683,7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8
991,1:good,1:good,,0.941,8.2,0.15,0.48,2.7,0.052,24,190,0.995,3.5,0.45,10.9
992,1:good,1:good,,0.974,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5
993,2:bad,2:bad,,0.993,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4
